;year;winter_cumulative_events;winter_cumulative_duration;winter_cumulative_deficit;winter_max_deficit;spring_cumulative_events;spring_cumulative_duration;spring_cumulative_deficit;spring_max_deficit;summer_cumulative_events;summer_cumulative_duration;summer_cumulative_deficit;summer_max_deficit;autumn_cumulative_events;autumn_cumulative_duration;autumn_cumulative_deficit;autumn_max_deficit
0;1901;1;29;3000.445479452053;148.53260273972603;1;22;2297.7172602739715;164.53260273972603;2;60;6552.956164383559;194.53260273972603;3;89;11971.40164383561;221.53260273972603
1;1902;0;0;0.0;0.0;0;0;0.0;0.0;2;181;25816.40109589047;285.53260273972603;0;0;0.0;0.0
2;1903;1;13;1132.9238356164383;138.53260273972603;4;27;754.3802739726028;67.53260273972603;1;149;22789.357808219243;265.53260273972603;1;23;1830.2498630136974;150.53260273972603
3;1904;2;36;3791.1736986301357;172.53260273972603;0;0;0.0;0.0;2;119;30526.37972602746;347.53260273972603;2;54;13976.760547945201;309.53260273972603
4;1905;2;63;6401.553972602736;191.53260273972603;0;0;0.0;0.0;1;68;10064.216986301364;219.53260273972603;2;46;4735.499726027395;194.53260273972603
5;1906;1;3;68.59780821917809;25.53260273972603;1;5;117.66301369863015;28.53260273972603;3;70;8467.282191780818;241.53260273972603;1;38;2792.2389041095867;132.53260273972603
6;1907;1;14;1750.4564383561637;160.53260273972603;1;6;124.19561643835618;37.53260273972603;2;30;1829.9780821917802;144.53260273972603;1;129;17928.705753424663;208.53260273972603
7;1908;2;27;2274.380273972601;138.53260273972603;0;0;0.0;0.0;1;196;35783.39013698639;302.53260273972603;0;0;0.0;0.0
8;1909;2;36;8873.173698630135;311.53260273972603;2;27;4386.380273972602;281.53260273972603;2;52;5999.6953424657495;189.53260273972603;1;120;15803.912328767112;243.53260273972603
9;1910;0;0;0.0;0.0;2;11;326.85863013698633;54.53260273972603;2;29;1677.4454794520543;126.53260273972603;3;38;2821.2389041095885;161.53260273972603
10;1911;0;0;0.0;0.0;0;0;0.0;0.0;2;216;55704.04219178073;331.53260273972603;0;0;0.0;0.0
11;1912;1;35;4484.641095890408;243.53260273972603;2;68;8197.216986301364;195.53260273972603;2;32;4173.043287671231;222.53260273972603;2;23;610.2498630136987;67.53260273972603
12;1913;3;19;962.1194520547946;80.53260273972603;2;23;1184.2498630136988;80.53260273972603;4;80;9789.608219178077;222.53260273972603;1;93;13148.532054794512;232.53260273972603
13;1914;1;34;3704.1084931506825;146.53260273972603;1;27;1518.380273972602;91.53260273972603;2;46;3214.4997260273944;173.53260273972603;3;124;13594.042739726017;266.53260273972603
14;1915;1;7;176.7282191780822;44.53260273972603;0;0;0.0;0.0;1;102;15815.325479452045;245.53260273972603;1;20;1857.6520547945197;140.53260273972603
15;1916;1;6;313.1956164383562;58.53260273972603;0;0;0.0;0.0;2;23;1181.2498630136988;98.53260273972603;2;113;7921.184109589032;134.53260273972603
16;1917;1;24;580.7824657534247;36.53260273972603;3;22;1119.7172602739724;79.53260273972603;1;223;46034.77041095889;279.53260273972603;0;0;0.0;0.0
17;1918;0;0;0.0;0.0;1;35;2613.641095890409;123.53260273972603;2;223;46237.77041095903;299.53260273972603;0;0;0.0;0.0
18;1919;1;25;3410.315068493149;192.53260273972603;0;0;0.0;0.0;3;161;30467.749041095947;289.53260273972603;0;0;0.0;0.0
19;1920;1;5;184.66301369863015;66.53260273972603;0;0;0.0;0.0;1;78;10736.543013698623;256.53260273972603;1;108;20243.521095890435;284.53260273972603
20;1921;0;0;0.0;0.0;1;174;31067.672876712404;323.53260273972603;0;0;0.0;0.0;17;44;13368.434520547944;311.53260273972603
21;1922;2;94;19945.06465753424;317.53260273972603;1;3;38.59780821917809;17.53260273972603;1;95;18079.597260273982;284.53260273972603;2;32;2678.0432876712316;178.53260273972603
22;1923;0;0;0.0;0.0;0;0;0.0;0.0;3;102;20128.32547945208;274.53260273972603;0;0;0.0;0.0
