;year;winter_cumulative_events;winter_cumulative_duration;winter_cumulative_deficit;winter_max_deficit;spring_cumulative_events;spring_cumulative_duration;spring_cumulative_deficit;spring_max_deficit;summer_cumulative_events;summer_cumulative_duration;summer_cumulative_deficit;summer_max_deficit;autumn_cumulative_events;autumn_cumulative_duration;autumn_cumulative_deficit;autumn_max_deficit
0;1901;1;24;17192.565641140794;973.7735683808667;2;27;15963.886346283396;1020.7735683808667;2;55;13232.546260947674;390.77356838086666;3;24;4368.565641140802;270.77356838086666
1;1902;4;53;17690.999124185935;630.7735683808667;4;17;1193.1506624747333;190.77356838086666;2;168;72228.95948798556;1006.7735683808667;0;0;0.0;0.0
2;1903;1;44;22934.03700875814;710.7735683808667;2;37;15058.622030092063;690.7735683808667;3;58;12064.86696609027;350.77356838086666;3;81;26992.6590388502;800.7735683808667
3;1904;2;41;22421.716303615533;840.7735683808667;2;8;246.1885470469333;100.77356838086666;2;159;114084.99737255799;1025.7735683808667;0;0;0.0;0.0
4;1905;2;44;27195.037008758125;908.7735683808667;1;26;10610.112777902532;570.7735683808667;2;60;14146.414102851992;480.77356838086666;3;45;7824.810577139001;360.77356838086666
5;1906;2;27;8840.886346283402;600.7735683808667;2;57;9974.093397709406;430.77356838086666;0;0;0.0;0.0;1;118;92988.28106894236;1167.7735683808667
6;1907;2;57;33027.093397709396;903.7735683808667;2;6;324.6414102852;80.77356838086666;1;142;101914.84671008319;1065.7735683808667;0;0;0.0;0.0
7;1908;1;38;24403.39559847294;980.7735683808667;3;29;9472.433483045135;610.7735683808667;1;20;5185.471367617335;390.77356838086666;2;144;94609.39384684485;1127.7735683808667
8;1909;1;12;8319.2828205704;926.7735683808667;3;52;34813.22555580508;1084.7735683808667;2;53;23000.999124185935;670.7735683808667;2;87;32617.300449135393;700.7735683808667
9;1910;2;13;1910.0563889512666;280.77356838086666;1;31;10143.980619806865;470.77356838086666;0;0;0.0;0.0;1;33;15245.527756568596;730.7735683808667
10;1911;1;13;3200.0563889512678;340.77356838086666;3;65;23310.281944756323;690.7735683808667;3;158;112786.22380417713;1079.7735683808667;0;0;0.0;0.0
