;ID;duration;time_deta;mean_deficit;max_deficit;sum_deficit;list_deficit;Qmin;start_date;start_year;start_month;max_date;max_month;end_date;Station;River
0;0;20;8;355.258125;552.4375;7105.1625;[146.00833333333344, 176.0, 246.0, 275.0250000000001, 350.0, 408.0, 440.0, 478.0, 384.0, 472.75, 537.0, 552.4375, 500.9416666666666, 551.0, 450.0, 336.0, 266.0, 208.0, 174.0, 154.0];887;1901-01-09;1901;1;1901-02-09;2;1901-01-29;6335050;RHINE RIVER
1;1;17;14;391.9139705882353;668.0;6662.5375;[36.0, 190.0, 186.0, 280.0, 326.0, 330.0, 248.0, 335.73749999999995, 402.0, 436.70000000000005, 485.2520833333333, 594.2979166666667, 630.55, 668.0, 577.0, 541.0, 396.0];840;1901-02-12;1901;2;1901-03-13;3;1901-03-01;6335050;RHINE RIVER
2;2;1;0;112.45000000000005;112.45000000000005;112.45000000000005;[112.45000000000005];1290;1901-03-01;1901;3;1901-03-02;3;1901-03-02;6335050;RHINE RIVER
3;3;9;82;46.03449074074074;80.0;414.3104166666667;[28.197916666666742, 58.160416666666606, 70.0, 80.0, 69.95208333333335, 38.0, 28.0, 26.0, 16.0];1500;1901-05-23;1901;5;1901-06-03;6;1901-06-01;6335050;RHINE RIVER
4;4;1;2;11.599999999999909;11.599999999999909;11.599999999999909;[11.599999999999909];1550;1901-06-03;1901;6;1901-06-04;6;1901-06-04;6335050;RHINE RIVER
5;5;1;497;6.0;6.0;6.0;[6.0];1020;1902-10-14;1902;10;1902-10-15;10;1902-10-15;6335050;RHINE RIVER
6;6;15;32;143.2;208.88750000000005;2148.0;[6.0, 50.0, 46.0, 105.0, 149.0, 130.0, 145.0, 203.0, 208.88750000000005, 196.0, 181.0, 167.0, 183.03125, 172.0, 206.08124999999995];854;1902-11-16;1902;11;1902-12-08;12;1902-12-01;6335050;RHINE RIVER
7;7;5;0;167.52333333333337;233.0;837.6166666666668;[227.79999999999995, 233.0, 173.0, 134.0, 69.81666666666683];873;1902-12-01;1902;12;1902-12-07;12;1902-12-06;6335050;RHINE RIVER
8;8;11;2;234.775;401.0;2582.525;[56.0, 66.0, 142.0, 249.0, 249.5250000000001, 233.0, 344.0, 293.0, 401.0, 369.0, 180.0];859;1902-12-08;1902;12;1902-12-27;12;1902-12-19;6335050;RHINE RIVER
9;9;3;41;69.33333333333333;78.0;208.0;[62.0, 78.0, 68.0];1340;1903-01-29;1903;1;1903-02-01;2;1903-02-01;6335050;RHINE RIVER
10;10;28;0;162.1263392857143;358.0;4539.5375;[76.0, 150.0, 186.0, 178.0, 186.0, 168.0, 150.0, 156.0, 140.0, 156.0, 204.0, 186.0, 190.0, 156.0, 100.0, 56.0, 20.0, 18.0, 25.737499999999955, 72.0, 86.70000000000005, 158.2520833333333, 236.29791666666665, 288.54999999999995, 358.0, 324.0, 318.0, 196.0];1150;1903-02-01;1903;2;1903-03-24;3;1903-03-01;6335050;RHINE RIVER
11;11;4;0;70.42500000000001;120.0;281.70000000000005;[92.45000000000005, 120.0, 68.0, 1.25];1310;1903-03-01;1903;3;1903-03-06;3;1903-03-05;6335050;RHINE RIVER
12;12;16;11;234.93199728260868;385.1916666666666;3758.911956521739;[48.0, 80.0, 100.0, 172.0250000000001, 168.125, 170.0, 166.0, 224.23125000000005, 226.0, 258.88541666666674, 306.0, 350.0, 385.1916666666666, 378.86666666666656, 357.586956521739, 368.0];1170;1903-03-16;1903;3;1903-04-12;4;1903-04-01;6335050;RHINE RIVER
13;13;6;0;232.35208333333333;358.3416666666667;1394.1125;[358.3416666666667, 290.0, 294.0, 238.25, 165.52083333333326, 48.0];1200;1903-04-01;1903;4;1903-04-07;4;1903-04-07;6335050;RHINE RIVER
14;14;5;50;19.59041666666667;28.0;97.95208333333335;[9.952083333333348, 28.0, 18.0, 26.0, 16.0];1510;1903-05-27;1903;5;1903-06-01;6;1903-06-01;6335050;RHINE RIVER
15;15;2;0;34.0;40.0;68.0;[28.0, 40.0];1520;1903-06-01;1903;6;1903-06-04;6;1903-06-03;6335050;RHINE RIVER
16;16;1;3;3.833333333333485;3.833333333333485;3.833333333333485;[3.833333333333485];1580;1903-06-06;1903;6;1903-06-07;6;1903-06-07;6335050;RHINE RIVER
17;17;1;1;28.0;28.0;28.0;[28.0];1560;1903-06-08;1903;6;1903-06-09;6;1903-06-09;6335050;RHINE RIVER
18;18;3;3;23.8527777777778;28.0;71.5583333333334;[26.0, 17.558333333333394, 28.0];1610;1903-06-12;1903;6;1903-06-17;6;1903-06-15;6335050;RHINE RIVER
19;19;1;1;18.25;18.25;18.25;[18.25];1640;1903-06-16;1903;6;1903-06-17;6;1903-06-17;6335050;RHINE RIVER
20;20;9;14;52.86828703703706;83.00833333333344;475.81458333333353;[16.0, 36.0, 78.0, 83.00833333333344, 79.47708333333344, 42.03958333333344, 13.604166666666515, 71.3395833333334, 56.3458333333333];1540;1903-07-01;1903;7;1903-07-13;7;1903-07-10;6335050;RHINE RIVER
21;21;12;176;298.59722222222223;420.0;3583.166666666667;[46.924999999999955, 148.0, 280.0, 363.2083333333335, 358.0, 330.0, 304.0, 306.00833333333344, 276.0, 396.0, 355.0250000000001, 420.0];1020;1904-01-02;1904;1;1904-01-25;1;1904-01-14;6335050;RHINE RIVER
22;22;7;11;158.57142857142858;282.0;1110.0;[16.0, 78.0, 24.0, 174.0, 282.0, 278.0, 258.0];1150;1904-01-25;1904;1;1904-02-04;2;1904-02-01;6335050;RHINE RIVER
23;23;5;0;153.2;266.0;766.0;[266.0, 210.0, 126.0, 88.0, 76.0];1180;1904-02-01;1904;2;1904-02-06;2;1904-02-06;6335050;RHINE RIVER
24;24;10;167;110.17270833333335;172.0;1101.7270833333334;[17.716666666666697, 49.32708333333335, 79.20000000000005, 110.9083333333333, 106.0, 104.57500000000005, 138.0, 154.0, 172.0, 170.0];1250;1904-07-22;1904;7;1904-08-08;8;1904-08-01;6335050;RHINE RIVER
25;25;31;0;255.0619623655914;328.96875;7906.920833333334;[165.70000000000005, 160.0, 158.0, 151.04166666666652, 130.0, 186.2750000000001, 198.0, 255.22291666666683, 277.6208333333334, 294.45000000000005, 291.8499999999999, 289.20000000000005, 273.95416666666665, 278.0, 258.44583333333344, 258.0, 294.0, 296.0, 328.96875, 326.5250000000001, 311.15625, 298.9333333333334, 294.57500000000005, 299.00833333333344, 308.0, 304.0, 312.1875, 277.0, 236.15625, 204.6500000000001, 190.0];922;1904-08-01;1904;8;1904-09-18;9;1904-09-01;6335050;RHINE RIVER
26;26;18;0;133.20856481481482;225.0958333333333;2397.7541666666666;[196.0, 206.0, 222.0, 225.0958333333333, 216.9375, 192.0, 152.0, 120.0, 126.0, 116.0, 99.13750000000005, 97.51666666666665, 62.0, 77.57500000000005, 99.49166666666679, 96.0, 72.0, 22.0];978;1904-09-01;1904;9;1904-09-22;9;1904-09-19;6335050;RHINE RIVER
27;27;4;8;48.3828125;72.0;193.53125;[16.0, 40.0, 65.53125, 72.0];978;1904-09-27;1904;9;1904-10-03;10;1904-10-01;6335050;RHINE RIVER
28;28;2;0;56.0;69.0;112.0;[69.0, 43.0];967;1904-10-01;1904;10;1904-10-03;10;1904-10-03;6335050;RHINE RIVER
29;29;6;4;16.496180555555572;30.943750000000136;98.97708333333344;[9.345833333333303, 30.943750000000136, 20.0, 4.0, 16.6875, 18.0];988;1904-10-07;1904;10;1904-10-14;10;1904-10-13;6335050;RHINE RIVER
30;30;10;9;28.957791666666687;56.80000000000007;289.57791666666685;[10.0, 20.0, 20.200000000000045, 40.75833333333344, 41.112499999999955, 32.08333333333337, 30.987499999999955, 20.15625, 17.480000000000018, 56.80000000000007];937;1904-10-22;1904;10;1904-11-09;11;1904-11-01;6335050;RHINE RIVER
31;31;10;0;119.65604166666667;204.15625;1196.5604166666667;[27.279166666666697, 41.0625, 69.0, 84.76874999999995, 98.20000000000005, 111.79999999999995, 169.0, 200.0, 204.15625, 191.29375000000005];835;1904-11-01;1904;11;1904-11-19;11;1904-11-11;6335050;RHINE RIVER
32;32;8;12;58.349999999999994;117.79999999999995;466.79999999999995;[2.8875000000000455, 30.0, 47.0, 38.0, 68.03125, 62.0, 101.08124999999995, 117.79999999999995];983;1904-11-23;1904;11;1904-12-07;12;1904-12-01;6335050;RHINE RIVER
33;33;7;0;107.40238095238098;178.0;751.8166666666668;[178.0, 156.0, 134.0, 129.81666666666683, 72.0, 46.0, 36.0];952;1904-12-01;1904;12;1904-12-08;12;1904-12-08;6335050;RHINE RIVER
34;34;9;15;111.5490740740741;163.98125000000005;1003.9416666666668;[20.456249999999955, 73.16875000000005, 134.21875, 142.51041666666674, 142.45000000000005, 163.98125000000005, 151.15625, 86.0, 90.0];1030;1904-12-23;1904;12;1905-01-05;1;1905-01-01;6335050;RHINE RIVER
35;35;6;0;187.19270833333337;363.2083333333335;1123.1562500000002;[117.02291666666679, 86.92499999999995, 88.0, 230.0, 363.2083333333335, 238.0];1020;1905-01-01;1905;1;1905-01-11;1;1905-01-07;6335050;RHINE RIVER
36;36;14;11;364.65208333333334;480.0;5105.129166666667;[232.75, 254.0, 199.4375, 287.9416666666666, 368.0, 396.0, 406.0, 474.0, 431.0, 391.0, 427.0, 480.0, 440.0, 318.0];952;1905-01-18;1905;1;1905-02-11;2;1905-02-01;6335050;RHINE RIVER
37;37;2;0;208.0;276.0;416.0;[276.0, 140.0];1170;1905-02-01;1905;2;1905-02-03;2;1905-02-03;6335050;RHINE RIVER
38;38;3;23;82.66666666666667;128.0;248.0;[44.0, 128.0, 76.0];1360;1905-02-26;1905;2;1905-03-01;3;1905-03-01;6335050;RHINE RIVER
39;39;9;0;128.59722222222223;214.23333333333335;1157.375;[62.450000000000045, 120.0, 118.0, 121.25, 148.0, 196.0, 214.23333333333335, 161.4416666666666, 16.0];1290;1905-03-01;1905;3;1905-03-16;3;1905-03-10;6335050;RHINE RIVER
40;40;1;302;8.0;8.0;8.0;[8.0];1380;1906-01-06;1906;1;1906-01-07;1;1906-01-07;6335050;RHINE RIVER
41;41;26;241;89.67836538461538;149.13750000000005;2331.6375;[33.0958333333333, 44.9375, 42.0, 42.0, 30.0, 86.0, 126.0, 149.13750000000005, 131.51666666666665, 119.0, 124.57500000000005, 109.49166666666679, 110.0, 99.0, 104.0, 84.0, 91.02083333333326, 84.33124999999995, 62.0, 99.0, 98.0, 98.0, 100.0, 98.0, 84.0, 82.53125];967;1906-09-05;1906;9;1906-10-07;10;1906-10-01;6335050;RHINE RIVER
42;42;31;0;201.85090053763443;283.11249999999995;6257.377916666667;[133.0, 139.0, 144.0, 154.07500000000005, 125.0, 153.0, 133.0, 151.3458333333333, 167.94375000000014, 124.0, 103.0, 131.6875, 157.0, 196.0, 213.0, 231.0, 253.3687500000001, 254.0, 270.0, 251.32500000000005, 228.1500000000001, 251.70416666666665, 246.0, 246.0, 238.20000000000005, 271.75833333333344, 283.11249999999995, 268.08333333333337, 256.98749999999995, 245.15625, 237.48000000000002];722;1906-10-01;1906;10;1906-11-26;11;1906-11-01;6335050;RHINE RIVER
43;43;21;0;243.28244047619052;313.76874999999995;5108.931250000001;[280.80000000000007, 280.2791666666667, 293.0625, 301.0, 313.76874999999995, 287.20000000000005, 254.79999999999995, 288.0, 297.0, 260.15625, 256.29375000000005, 260.57083333333344, 239.0, 249.0, 239.0, 249.0, 263.0, 202.0, 150.0, 93.0, 52.0];693;1906-11-01;1906;11;1906-11-26;11;1906-11-22;6335050;RHINE RIVER
